symptom,drug,timing,Freq
頭痛,セデスハイ,ひどくはなっていないが、痛みや熱がひかないとき,9
頭痛,セデスハイ,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,13
頭痛,セデスハイ,痛みが我慢できなくなったとき・熱が高くなったとき,27
頭痛,セデスハイ,その他,0
頭痛,セデスV,痛くなりそうなとき・熱が出そうなとき,12
頭痛,セデスV,痛くなったとき・熱が出始めたとき,28
頭痛,セデスV,ひどくはなっていないが、痛みや熱がひかないとき,17
頭痛,セデスV,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,18
頭痛,セデスV,痛みが我慢できなくなったとき・熱が高くなったとき,18
頭痛,セデスV,その他,1
頭痛,セデスキュア,痛くなりそうなとき・熱が出そうなとき,6
頭痛,セデスキュア,痛くなったとき・熱が出始めたとき,19
頭痛,セデスキュア,ひどくはなっていないが、痛みや熱がひかないとき,10
頭痛,セデスキュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,14
頭痛,セデスキュア,痛みが我慢できなくなったとき・熱が高くなったとき,18
頭痛,セデスキュア,その他,1
頭痛,ノーシン錠,痛くなりそうなとき・熱が出そうなとき,5
頭痛,ノーシン錠,痛くなったとき・熱が出始めたとき,20
頭痛,ノーシン錠,ひどくはなっていないが、痛みや熱がひかないとき,8
頭痛,ノーシン錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,9
頭痛,ノーシン錠,痛みが我慢できなくなったとき・熱が高くなったとき,22
頭痛,ノーシン錠,その他,0
頭痛,ノーシンピュア,痛くなりそうなとき・熱が出そうなとき,4
頭痛,ノーシンピュア,痛くなったとき・熱が出始めたとき,19
頭痛,ノーシンピュア,ひどくはなっていないが、痛みや熱がひかないとき,6
頭痛,ノーシンピュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,13
頭痛,ノーシンピュア,痛みが我慢できなくなったとき・熱が高くなったとき,20
頭痛,ノーシンピュア,その他,0
頭痛,ナロンエース,痛くなりそうなとき・熱が出そうなとき,9
頭痛,ナロンエース,痛くなったとき・熱が出始めたとき,20
頭痛,ナロンエース,ひどくはなっていないが、痛みや熱がひかないとき,4
頭痛,ナロンエース,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,15
頭痛,ナロンエース,痛みが我慢できなくなったとき・熱が高くなったとき,19
頭痛,ナロンエース,その他,1
頭痛,リングルアイビー,痛くなりそうなとき・熱が出そうなとき,6
頭痛,リングルアイビー,痛くなったとき・熱が出始めたとき,21
頭痛,リングルアイビー,ひどくはなっていないが、痛みや熱がひかないとき,14
頭痛,リングルアイビー,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,13
頭痛,リングルアイビー,痛みが我慢できなくなったとき・熱が高くなったとき,19
頭痛,リングルアイビー,その他,0
肩こり痛,バファリンA,痛くなりそうなとき・熱が出そうなとき,1
肩こり痛,バファリンA,痛くなったとき・熱が出始めたとき,5
肩こり痛,バファリンA,ひどくはなっていないが、痛みや熱がひかないとき,4
肩こり痛,バファリンA,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,3
肩こり痛,バファリンA,痛みが我慢できなくなったとき・熱が高くなったとき,4
肩こり痛,バファリンA,その他,2
肩こり痛,イブA錠,痛くなりそうなとき・熱が出そうなとき,1
肩こり痛,イブA錠,痛くなったとき・熱が出始めたとき,4
肩こり痛,イブA錠,ひどくはなっていないが、痛みや熱がひかないとき,2
